tabela;role;origem_snapshot_dml;destino_select_probe;destino_insert_probe;destino_update_probe;destino_delete_probe;grant_ausente_confirmado;observacao
external_equipment_requests;authenticated;DELETE,INSERT,UPDATE;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;"NÃO INDICADO (auditoria anterior); requer JWT para repetição independente";"Snapshot mostra I/U/D na origem para todas as tabelas; sessão externa comum não está disponível nesta execução."
external_users;anon;DELETE,INSERT,UPDATE;HTTP 200;HTTP 400 22P02;HTTP 204;HTTP 204;NÃO;"Sondagem sem mutação: UPDATE/DELETE em UUID inexistente; INSERT com UUID inválido."
external_users;authenticated;DELETE,INSERT,UPDATE;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;"NÃO INDICADO (auditoria anterior); requer JWT para repetição independente";"Snapshot mostra I/U/D na origem para todas as tabelas; sessão externa comum não está disponível nesta execução."
inventory_movements;anon;DELETE,INSERT,UPDATE;HTTP 200;HTTP 400 22P02;HTTP 204;HTTP 204;NÃO;"Sondagem sem mutação: UPDATE/DELETE em UUID inexistente; INSERT com UUID inválido."
inventory_movements;authenticated;DELETE,INSERT,UPDATE;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;"NÃO INDICADO (auditoria anterior); requer JWT para repetição independente";"Snapshot mostra I/U/D na origem para todas as tabelas; sessão externa comum não está disponível nesta execução."
locker_exchanges;anon;DELETE,INSERT,UPDATE;HTTP 200;HTTP 400 22P02;HTTP 204;HTTP 204;NÃO;"Sondagem sem mutação: UPDATE/DELETE em UUID inexistente; INSERT com UUID inválido."
locker_exchanges;authenticated;DELETE,INSERT,UPDATE;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;"NÃO INDICADO (auditoria anterior); requer JWT para repetição independente";"Snapshot mostra I/U/D na origem para todas as tabelas; sessão externa comum não está disponível nesta execução."
locker_loans;anon;DELETE,INSERT,UPDATE;HTTP 200;HTTP 400 22P02;HTTP 204;HTTP 204;NÃO;"Sondagem sem mutação: UPDATE/DELETE em UUID inexistente; INSERT com UUID inválido."
locker_loans;authenticated;DELETE,INSERT,UPDATE;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;"NÃO INDICADO (auditoria anterior); requer JWT para repetição independente";"Snapshot mostra I/U/D na origem para todas as tabelas; sessão externa comum não está disponível nesta execução."
lockers;anon;DELETE,INSERT,UPDATE;HTTP 200;HTTP 400 22P02;HTTP 204;HTTP 204;NÃO;"Sondagem sem mutação: UPDATE/DELETE em UUID inexistente; INSERT com UUID inválido."
lockers;authenticated;DELETE,INSERT,UPDATE;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;"NÃO INDICADO (auditoria anterior); requer JWT para repetição independente";"Snapshot mostra I/U/D na origem para todas as tabelas; sessão externa comum não está disponível nesta execução."
lost_items;anon;DELETE,INSERT,UPDATE;HTTP 200;HTTP 400 22P02;HTTP 204;HTTP 204;NÃO;"Sondagem sem mutação: UPDATE/DELETE em UUID inexistente; INSERT com UUID inválido."
lost_items;authenticated;DELETE,INSERT,UPDATE;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;"NÃO INDICADO (auditoria anterior); requer JWT para repetição independente";"Snapshot mostra I/U/D na origem para todas as tabelas; sessão externa comum não está disponível nesta execução."
lost_items_archive;anon;DELETE,INSERT,UPDATE;HTTP 200;HTTP 400 22P02;HTTP 204;HTTP 204;NÃO;"Sondagem sem mutação: UPDATE/DELETE em UUID inexistente; INSERT com UUID inválido."
lost_items_archive;authenticated;DELETE,INSERT,UPDATE;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;"NÃO INDICADO (auditoria anterior); requer JWT para repetição independente";"Snapshot mostra I/U/D na origem para todas as tabelas; sessão externa comum não está disponível nesta execução."
material_requests;anon;DELETE,INSERT,UPDATE;HTTP 200;HTTP 400 22P02;HTTP 204;HTTP 204;NÃO;"Sondagem sem mutação: UPDATE/DELETE em UUID inexistente; INSERT com UUID inválido."
material_requests;authenticated;DELETE,INSERT,UPDATE;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;"NÃO INDICADO (auditoria anterior); requer JWT para repetição independente";"Snapshot mostra I/U/D na origem para todas as tabelas; sessão externa comum não está disponível nesta execução."
profiles;anon;DELETE,INSERT,UPDATE;HTTP 200;HTTP 400 22P02;HTTP 204;HTTP 204;NÃO;"Sondagem sem mutação: UPDATE/DELETE em UUID inexistente; INSERT com UUID inválido."
profiles;authenticated;DELETE,INSERT,UPDATE;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;"NÃO INDICADO (auditoria anterior); requer JWT para repetição independente";"Snapshot mostra I/U/D na origem para todas as tabelas; sessão externa comum não está disponível nesta execução."
ps_campus_floors;anon;DELETE,INSERT,UPDATE;HTTP 200;HTTP 400 22P02;HTTP 204;HTTP 204;NÃO;"Sondagem sem mutação: UPDATE/DELETE em UUID inexistente; INSERT com UUID inválido."
ps_campus_floors;authenticated;DELETE,INSERT,UPDATE;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;"NÃO INDICADO (auditoria anterior); requer JWT para repetição independente";"Snapshot mostra I/U/D na origem para todas as tabelas; sessão externa comum não está disponível nesta execução."
ps_campuses;anon;DELETE,INSERT,UPDATE;HTTP 200;HTTP 400 22P02;HTTP 204;HTTP 204;NÃO;"Sondagem sem mutação: UPDATE/DELETE em UUID inexistente; INSERT com UUID inválido."
ps_campuses;authenticated;DELETE,INSERT,UPDATE;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;"NÃO INDICADO (auditoria anterior); requer JWT para repetição independente";"Snapshot mostra I/U/D na origem para todas as tabelas; sessão externa comum não está disponível nesta execução."
ps_candidates;anon;DELETE,INSERT,UPDATE;HTTP 200;HTTP 400 22P02;HTTP 204;HTTP 204;NÃO;"Sondagem sem mutação: UPDATE/DELETE em UUID inexistente; INSERT com UUID inválido."
ps_candidates;authenticated;DELETE,INSERT,UPDATE;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;"NÃO INDICADO (auditoria anterior); requer JWT para repetição independente";"Snapshot mostra I/U/D na origem para todas as tabelas; sessão externa comum não está disponível nesta execução."
ps_collaborators;anon;DELETE,INSERT,UPDATE;HTTP 200;HTTP 400 22P02;HTTP 204;HTTP 204;NÃO;"Sondagem sem mutação: UPDATE/DELETE em UUID inexistente; INSERT com UUID inválido."
ps_collaborators;authenticated;DELETE,INSERT,UPDATE;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;"NÃO INDICADO (auditoria anterior); requer JWT para repetição independente";"Snapshot mostra I/U/D na origem para todas as tabelas; sessão externa comum não está disponível nesta execução."
ps_evaluation_retifications;anon;DELETE,INSERT,UPDATE;HTTP 200;HTTP 400 22P02;HTTP 204;HTTP 204;NÃO;"Sondagem sem mutação: UPDATE/DELETE em UUID inexistente; INSERT com UUID inválido."
ps_evaluation_retifications;authenticated;DELETE,INSERT,UPDATE;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;"NÃO INDICADO (auditoria anterior); requer JWT para repetição independente";"Snapshot mostra I/U/D na origem para todas as tabelas; sessão externa comum não está disponível nesta execução."
ps_evaluations;anon;nenhum;HTTP 200;HTTP 400 22P02;HTTP 204;HTTP 204;NÃO;"Sondagem sem mutação: UPDATE/DELETE em UUID inexistente; INSERT com UUID inválido."
ps_evaluations;authenticated;DELETE,INSERT,UPDATE;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;"NÃO INDICADO (auditoria anterior); requer JWT para repetição independente";"Snapshot mostra I/U/D na origem para todas as tabelas; sessão externa comum não está disponível nesta execução."
ps_event_collaborators;anon;nenhum;HTTP 200;HTTP 400 22P02;HTTP 204;HTTP 204;NÃO;"Sondagem sem mutação: UPDATE/DELETE em UUID inexistente; INSERT com UUID inválido."
ps_event_collaborators;authenticated;DELETE,INSERT,UPDATE;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;"NÃO INDICADO (auditoria anterior); requer JWT para repetição independente";"Snapshot mostra I/U/D na origem para todas as tabelas; sessão externa comum não está disponível nesta execução."
ps_events;anon;DELETE,INSERT,UPDATE;HTTP 200;HTTP 400 22P02;HTTP 204;HTTP 204;NÃO;"Sondagem sem mutação: UPDATE/DELETE em UUID inexistente; INSERT com UUID inválido."
ps_events;authenticated;DELETE,INSERT,UPDATE;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;"NÃO INDICADO (auditoria anterior); requer JWT para repetição independente";"Snapshot mostra I/U/D na origem para todas as tabelas; sessão externa comum não está disponível nesta execução."
ps_fiscal_bank_applications;anon;DELETE,INSERT,UPDATE;HTTP 200;HTTP 400 22P02;HTTP 204;HTTP 204;NÃO;"Sondagem sem mutação: UPDATE/DELETE em UUID inexistente; INSERT com UUID inválido."
ps_fiscal_bank_applications;authenticated;DELETE,INSERT,UPDATE;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;"NÃO INDICADO (auditoria anterior); requer JWT para repetição independente";"Snapshot mostra I/U/D na origem para todas as tabelas; sessão externa comum não está disponível nesta execução."
ps_fiscal_bank_config;anon;DELETE,INSERT,UPDATE;HTTP 200;HTTP 400 22P02;HTTP 204;HTTP 204;NÃO;"Sondagem sem mutação: UPDATE/DELETE em UUID inexistente; INSERT com UUID inválido."
ps_fiscal_bank_config;authenticated;DELETE,INSERT,UPDATE;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;"NÃO INDICADO (auditoria anterior); requer JWT para repetição independente";"Snapshot mostra I/U/D na origem para todas as tabelas; sessão externa comum não está disponível nesta execução."
ps_general_evaluations;anon;DELETE,INSERT,UPDATE;HTTP 200;HTTP 400 22P02;HTTP 204;HTTP 204;NÃO;"Sondagem sem mutação: UPDATE/DELETE em UUID inexistente; INSERT com UUID inválido."
ps_general_evaluations;authenticated;DELETE,INSERT,UPDATE;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;"NÃO INDICADO (auditoria anterior); requer JWT para repetição independente";"Snapshot mostra I/U/D na origem para todas as tabelas; sessão externa comum não está disponível nesta execução."
ps_roles;anon;DELETE,INSERT,UPDATE;HTTP 200;HTTP 400 22P02;HTTP 204;HTTP 204;NÃO;"Sondagem sem mutação: UPDATE/DELETE em UUID inexistente; INSERT com UUID inválido."
ps_roles;authenticated;DELETE,INSERT,UPDATE;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;"NÃO INDICADO (auditoria anterior); requer JWT para repetição independente";"Snapshot mostra I/U/D na origem para todas as tabelas; sessão externa comum não está disponível nesta execução."
ps_self_evaluations;anon;DELETE,INSERT,UPDATE;HTTP 200;HTTP 400 22P02;HTTP 204;HTTP 204;NÃO;"Sondagem sem mutação: UPDATE/DELETE em UUID inexistente; INSERT com UUID inválido."
ps_self_evaluations;authenticated;DELETE,INSERT,UPDATE;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;"NÃO INDICADO (auditoria anterior); requer JWT para repetição independente";"Snapshot mostra I/U/D na origem para todas as tabelas; sessão externa comum não está disponível nesta execução."
reservation_logs;anon;DELETE,INSERT,UPDATE;HTTP 200;HTTP 400 22P02;HTTP 204;HTTP 204;NÃO;"Sondagem sem mutação: UPDATE/DELETE em UUID inexistente; INSERT com UUID inválido."
reservation_logs;authenticated;DELETE,INSERT,UPDATE;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;"NÃO INDICADO (auditoria anterior); requer JWT para repetição independente";"Snapshot mostra I/U/D na origem para todas as tabelas; sessão externa comum não está disponível nesta execução."
reservation_reschedulings;anon;DELETE,INSERT,UPDATE;HTTP 200;HTTP 400 22P02;HTTP 204;HTTP 204;NÃO;"Sondagem sem mutação: UPDATE/DELETE em UUID inexistente; INSERT com UUID inválido."
reservation_reschedulings;authenticated;DELETE,INSERT,UPDATE;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;"NÃO INDICADO (auditoria anterior); requer JWT para repetição independente";"Snapshot mostra I/U/D na origem para todas as tabelas; sessão externa comum não está disponível nesta execução."
reservation_rooms;anon;DELETE,INSERT,UPDATE;HTTP 200;HTTP 400 22P02;HTTP 204;HTTP 204;NÃO;"Sondagem sem mutação: UPDATE/DELETE em UUID inexistente; INSERT com UUID inválido."
reservation_rooms;authenticated;DELETE,INSERT,UPDATE;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;"NÃO INDICADO (auditoria anterior); requer JWT para repetição independente";"Snapshot mostra I/U/D na origem para todas as tabelas; sessão externa comum não está disponível nesta execução."
reservations;anon;DELETE,INSERT,UPDATE;HTTP 200;HTTP 400 22P02;HTTP 204;HTTP 204;NÃO;"Sondagem sem mutação: UPDATE/DELETE em UUID inexistente; INSERT com UUID inválido."
reservations;authenticated;DELETE,INSERT,UPDATE;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;"NÃO INDICADO (auditoria anterior); requer JWT para repetição independente";"Snapshot mostra I/U/D na origem para todas as tabelas; sessão externa comum não está disponível nesta execução."
role_permissions;anon;DELETE,INSERT,UPDATE;HTTP 200;HTTP 400 22P02;HTTP 204;HTTP 204;NÃO;"Sondagem sem mutação: UPDATE/DELETE em UUID inexistente; INSERT com UUID inválido."
role_permissions;authenticated;DELETE,INSERT,UPDATE;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;"NÃO INDICADO (auditoria anterior); requer JWT para repetição independente";"Snapshot mostra I/U/D na origem para todas as tabelas; sessão externa comum não está disponível nesta execução."
room_checklists;anon;DELETE,INSERT,UPDATE;HTTP 200;HTTP 400 22P02;HTTP 204;HTTP 204;NÃO;"Sondagem sem mutação: UPDATE/DELETE em UUID inexistente; INSERT com UUID inválido."
room_checklists;authenticated;DELETE,INSERT,UPDATE;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;"NÃO INDICADO (auditoria anterior); requer JWT para repetição independente";"Snapshot mostra I/U/D na origem para todas as tabelas; sessão externa comum não está disponível nesta execução."
room_combinations;anon;DELETE,INSERT,UPDATE;HTTP 200;HTTP 400 22P02;HTTP 204;HTTP 204;NÃO;"Sondagem sem mutação: UPDATE/DELETE em UUID inexistente; INSERT com UUID inválido."
room_combinations;authenticated;DELETE,INSERT,UPDATE;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;"NÃO INDICADO (auditoria anterior); requer JWT para repetição independente";"Snapshot mostra I/U/D na origem para todas as tabelas; sessão externa comum não está disponível nesta execução."
rooms;anon;DELETE,INSERT,UPDATE;HTTP 200;HTTP 400 22P02;HTTP 204;HTTP 204;NÃO;"Sondagem sem mutação: UPDATE/DELETE em UUID inexistente; INSERT com UUID inválido."
rooms;authenticated;DELETE,INSERT,UPDATE;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;"NÃO INDICADO (auditoria anterior); requer JWT para repetição independente";"Snapshot mostra I/U/D na origem para todas as tabelas; sessão externa comum não está disponível nesta execução."
semester_checklist_items;anon;DELETE,INSERT,UPDATE;HTTP 200;HTTP 400 22P02;HTTP 204;HTTP 204;NÃO;"Sondagem sem mutação: UPDATE/DELETE em UUID inexistente; INSERT com UUID inválido."
semester_checklist_items;authenticated;DELETE,INSERT,UPDATE;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;"NÃO INDICADO (auditoria anterior); requer JWT para repetição independente";"Snapshot mostra I/U/D na origem para todas as tabelas; sessão externa comum não está disponível nesta execução."
semester_checklists;anon;DELETE,INSERT,UPDATE;HTTP 200;HTTP 400 22P02;HTTP 204;HTTP 204;NÃO;"Sondagem sem mutação: UPDATE/DELETE em UUID inexistente; INSERT com UUID inválido."
semester_checklists;authenticated;DELETE,INSERT,UPDATE;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;"NÃO INDICADO (auditoria anterior); requer JWT para repetição independente";"Snapshot mostra I/U/D na origem para todas as tabelas; sessão externa comum não está disponível nesta execução."
semester_competencies;anon;DELETE,INSERT,UPDATE;HTTP 200;HTTP 400 22P02;HTTP 204;HTTP 204;NÃO;"Sondagem sem mutação: UPDATE/DELETE em UUID inexistente; INSERT com UUID inválido."
semester_competencies;authenticated;DELETE,INSERT,UPDATE;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;"NÃO INDICADO (auditoria anterior); requer JWT para repetição independente";"Snapshot mostra I/U/D na origem para todas as tabelas; sessão externa comum não está disponível nesta execução."
semester_furniture_details;anon;DELETE,INSERT,UPDATE;HTTP 200;HTTP 400 22P02;HTTP 204;HTTP 204;NÃO;"Sondagem sem mutação: UPDATE/DELETE em UUID inexistente; INSERT com UUID inválido."
semester_furniture_details;authenticated;DELETE,INSERT,UPDATE;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;"NÃO INDICADO (auditoria anterior); requer JWT para repetição independente";"Snapshot mostra I/U/D na origem para todas as tabelas; sessão externa comum não está disponível nesta execução."
semester_item_options;anon;DELETE,INSERT,UPDATE;HTTP 200;HTTP 400 22P02;HTTP 204;HTTP 204;NÃO;"Sondagem sem mutação: UPDATE/DELETE em UUID inexistente; INSERT com UUID inválido."
semester_item_options;authenticated;DELETE,INSERT,UPDATE;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;"NÃO INDICADO (auditoria anterior); requer JWT para repetição independente";"Snapshot mostra I/U/D na origem para todas as tabelas; sessão externa comum não está disponível nesta execução."
semester_labels;anon;DELETE,INSERT,UPDATE;HTTP 200;HTTP 400 22P02;HTTP 204;HTTP 204;NÃO;"Sondagem sem mutação: UPDATE/DELETE em UUID inexistente; INSERT com UUID inválido."
semester_labels;authenticated;DELETE,INSERT,UPDATE;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;"NÃO INDICADO (auditoria anterior); requer JWT para repetição independente";"Snapshot mostra I/U/D na origem para todas as tabelas; sessão externa comum não está disponível nesta execução."
semester_projectors;anon;DELETE,INSERT,UPDATE;HTTP 200;HTTP 400 22P02;HTTP 204;HTTP 204;NÃO;"Sondagem sem mutação: UPDATE/DELETE em UUID inexistente; INSERT com UUID inválido."
